,specimenID,libraryID,assay,platform,referenceSet,transposaseBatch,libraryBatch,libraryPreparationMethod,sampleBarcode,chromiumSampleIndex,pcrCycles,sequencingBatch,isStranded,readStrandOrigin,readLength,runType,meanCoverage,meanGCContent,Q30BasesinRead1,Q30BasesinRead2
151,M1AT_221101_226_C01,L8AT_221103_03_A12,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22111505,L8AT_221103_03,10x,,SI-NA-A12,,ATX-1506,False,forward,50bp,pairedEnd,,,0.9312,0.9114
152,M1AT_221101_226_D01,L8AT_221103_03_B12,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22111505,L8AT_221103_03,10x,,SI-NA-B12,,ATX-1506,False,forward,50bp,pairedEnd,,,0.934,0.9176
153,M2AT_221102_221_A01,L8AT_221103_03_C12,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22111505,L8AT_221103_03,10x,,SI-NA-C12,,ATX-1506,False,forward,50bp,pairedEnd,,,0.934,0.9131
154,M2AT_221102_221_B01,L8AT_221103_03_D12,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22111505,L8AT_221103_03,10x,,SI-NA-D12,,ATX-1506,False,forward,50bp,pairedEnd,,,0.9336,0.9151
155,M1AT_221107_221_A01,L8AT_221109_01_E04,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22112902,L8AT_221109_01,10x,,SI-NA-E4,,ATX-1507,False,forward,50bp,pairedEnd,,,0.9389,0.9293
156,M1AT_221107_221_B01,L8AT_221109_01_F04,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22112902,L8AT_221109_01,10x,,SI-NA-F4,,ATX-1507,False,forward,50bp,pairedEnd,,,0.9369,0.9315
157,M1AT_221107_221_C01,L8AT_221109_01_G04,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22112902,L8AT_221109_01,10x,,SI-NA-G4,,ATX-1507,False,forward,50bp,pairedEnd,,,0.9417,0.9274
158,M1AT_221108_201_A01,L8AT_221109_01_H04,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22112902,L8AT_221109_01,10x,,SI-NA-H4,,ATX-1507,False,forward,50bp,pairedEnd,,,0.9389,0.9345
159,M1AT_221108_201_B01,L8AT_221109_01_A05,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22112902,L8AT_221109_01,10x,,SI-NA-A5,,ATX-1507,False,forward,50bp,pairedEnd,,,0.9407,0.928
160,M1AT_221108_201_C01,L8AT_221109_01_B05,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22112902,L8AT_221109_01,10x,,SI-NA-B5,,ATX-1507,False,forward,50bp,pairedEnd,,,0.9411,0.9264
161,M1AT_221108_201_D01,L8AT_221109_01_C05,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22112902,L8AT_221109_01,10x,,SI-NA-C5,,ATX-1507,False,forward,50bp,pairedEnd,,,0.939,0.9302
162,M2AT_221114_221_A01,L8AT_221116_01_D07,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22112903,L8AT_221116_01,10x,,SI-NA-D7,,ATX-1508,False,forward,50bp,pairedEnd,,,0.9196,0.9071
163,M2AT_221114_221_B01,L8AT_221116_01_E07,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22112903,L8AT_221116_01,10x,,SI-NA-E7,,ATX-1508,False,forward,50bp,pairedEnd,,,0.9198,0.9035
164,M1AT_220902_207_A01,L8AT_220907_01_B10,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22091304,L8AT_220907_01,10x,,SI-NA-B10,,ATX-613,False,forward,50bp,pairedEnd,,,0.9543,0.9474
165,M1AT_220902_207_B01,L8AT_220907_01_C10,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22091304,L8AT_220907_01,10x,,SI-NA-C10,,ATX-613,False,forward,50bp,pairedEnd,,,0.9546,0.9514
166,M1AT_220902_207_C01,L8AT_220907_01_D10,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22091304,L8AT_220907_01,10x,,SI-NA-D10,,ATX-613,False,forward,50bp,pairedEnd,,,0.9567,0.942
167,M2AT_220909_207_A01,L8AT_220912_01_E10,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22092003,L8AT_220912_01,10x,,SI-NA-E10,,ATX-614,False,forward,50bp,pairedEnd,,,0.9388,0.9404
168,M2AT_220909_207_B01,L8AT_220912_01_F10,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22092003,L8AT_220912_01,10x,,SI-NA-F10,,ATX-614,False,forward,50bp,pairedEnd,,,0.9402,0.9428
169,M2AT_220909_207_C01,L8AT_220912_01_G10,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22092003,L8AT_220912_01,10x,,SI-NA-G10,,ATX-614,False,forward,50bp,pairedEnd,,,0.9401,0.9418
170,M1AT_220916_222_A01,L8AT_220921_01_A04,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22100404,L8AT_220921_01,10x,,SI-NA-A4,,ATX-616,False,forward,50bp,pairedEnd,,,0.9498,0.9442
171,M1AT_220916_222_B01,L8AT_220921_01_B04,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22100404,L8AT_220921_01,10x,,SI-NA-B4,,ATX-616,False,forward,50bp,pairedEnd,,,0.948,0.9428
172,M1AT_220916_222_C01,L8AT_220921_01_C04,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22100404,L8AT_220921_01,10x,,SI-NA-C4,,ATX-616,False,forward,50bp,pairedEnd,,,0.946,0.9455
173,M2AT_220923_222_A01,L8AT_220928_01_D04,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22100404,L8AT_220928_01,10x,,SI-NA-D4,,ATX-616,False,forward,50bp,pairedEnd,,,0.9483,0.9502
174,M2AT_220923_222_B01,L8AT_220928_01_E04,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22100404,L8AT_220928_01,10x,,SI-NA-E4,,ATX-616,False,forward,50bp,pairedEnd,,,0.9477,0.9468
