,specimenID,libraryID,assay,platform,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,libraryType,sampleBarcode,isStranded,readStrandOrigin,readLength,runType,totalReads,validBarcodeReads,numberCells,medianGenes,medianUMIs,referenceSet,transposaseBatch,chromiumSampleIndex,pcrCycles,meanCoverage,meanGCContent,Q30BasesinRead1,Q30BasesinRead2,specimen_suffix
137,1403_A08,L8XR_220908_02_H09,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.63,A8XR_220906_02,L8XR_220908_02,MTX-2105,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,717285870,678982805,3960,2172.0,4866.5,GRCh38,R8XR-22091302,SI-TT-H9_i7,,,,0.9611,0.9475,-L8XR_220908_02_H09-1212705192
138,1415_A01,L8XR_220915_01_B09,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.67,A8XR_220913_01,L8XR_220915_01,MTX-2106,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1712763529,1637744486,7896,4473.5,15520.5,GRCh38,R8XR-22092002,SI-TT-B9_i7,,,,0.9422,0.9399,-L8XR_220915_01_B09-1214626879
139,1426_B02,L8XR_220922_02_G03,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.03,A8XR_220920_01,L8XR_220922_02,MTX-2107,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1333442981,1262903847,11189,4414.0,15533.0,GRCh38,R8XR-22100401,SI-TT-G3_i7,,,,0.9532,0.941,-L8XR_220922_02_G03-1217129218
140,1426_A02,L8XR_220922_02_B04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.43,A8XR_220920_01,L8XR_220922_02,MTX-2107,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1484445925,1404582734,11148,3703.0,11022.0,GRCh38,R8XR-22100401,SI-TT-B4_i7,,,,0.9532,0.9426,-L8XR_220922_02_B04-1217129216
141,1428_A04,L8XR_220929_01_F09,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.48,A8XR_220927_01,L8XR_220929_01,MTX-2107,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1068683353,1011829399,8981,5677.0,21068.0,GRCh38,R8XR-22100401,SI-TT-F9_i7,,,,0.9517,0.9412,-L8XR_220929_01_F09-1217129219
142,1428_B04,L8XR_220929_01_F11,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.4,A8XR_220927_01,L8XR_220929_01,MTX-2107,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1489826887,1409078270,11180,2022.5,4167.0,GRCh38,R8XR-22100401,SI-TT-F11_i7,,,,0.9517,0.9397,-L8XR_220929_01_F11-1217129220
143,1438_B02,L8XR_220929_01_H11,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,7.93,A8XR_220927_01,L8XR_220929_01,MTX-2109,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1634946404,1544206879,7619,3928.0,11581.0,GRCh38,R8XR-22101102,SI-TT-H11_i7,,,,0.957,0.9483,-L8XR_220929_01_H11-1219250384
144,1438_A02,L8XR_220929_01_E10,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.27,A8XR_220927_01,L8XR_220929_01,MTX-2109,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1294626720,1225105265,6762,5005.5,19211.0,GRCh38,R8XR-22101102,SI-TT-E10_i7,,,,0.9484,0.9307,-L8XR_220929_01_E10-1219250383
145,1440_B04,L8XR_221006_02_E02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.17,A8XR_221004_01,L8XR_221006_02,MTX-2109,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1105169255,1047479420,6589,4857.0,18538.0,GRCh38,R8XR-22101102,SI-TT-E2_i7,,,,0.9473,0.9472,-L8XR_221006_02_E02-1219250386
146,1440_A04,L8XR_221006_02_C03,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,7.27,A8XR_221004_01,L8XR_221006_02,MTX-2109,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1315170192,1239679423,9029,4091.0,13564.0,GRCh38,R8XR-22101102,SI-TT-C3_i7,,,,0.9562,0.9459,-L8XR_221006_02_C03-1219250385
147,1444_A08,L8XR_221006_02_D03,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.07,A8XR_221004_01,L8XR_221006_02,MTX-2110,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1358050658,1299654480,292,107.0,114.5,GRCh38,R8XR-22101804,SI-TT-D3_i7,,,,0.969,0.9548,-L8XR_221006_02_D03-1221250364
148,1444_B08,L8XR_221006_02_A04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,7.2,A8XR_221004_01,L8XR_221006_02,MTX-2110,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1325755456,1266626763,5280,2928.0,7688.5,GRCh38,R8XR-22101804,SI-TT-A4_i7,,,,0.9676,0.9499,-L8XR_221006_02_A04-1221250365
149,1765_A06,L8XR_230706_22_D01,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.87,A8XR_230703_02,L8XR_230706_22,MTX-2138,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,957240552,924024305,6148,4846.0,17612.5,GRCh38,R8XR-23071102,SI-TT-D1_i7,,,,0.9537,0.9452,-L8XR_230706_22_D01-1284703764
150,1765_B06,L8XR_230706_22_G12,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.65,A8XR_230703_02,L8XR_230706_22,MTX-2139,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1083938764,1054130448,8105,4774.0,15521.0,GRCh38,R8XR-23072501,SI-TT-G12_i7,,,,0.9494,0.939,-L8XR_230706_22_G12-1288463116
151,1772_A05,L8XR_230720_01_F03,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,7.93,A8XR_230718_01,L8XR_230720_01,MTX-2139,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1351777939,1311765312,5553,2383.0,5298.0,GRCh38,R8XR-23072501,SI-TT-F3_i7,,,,0.9505,0.9408,-L8XR_230720_01_F03-1288463120
152,1772_B05,L8XR_230713_21_D02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.18,A8XR_230711_01,L8XR_230713_21,MTX-2139,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1121613529,1084600283,4386,3736.5,10770.5,GRCh38,R8XR-23072501,SI-TT-D2_i7,,,,0.9515,0.942,-L8XR_230713_21_D02-1288463122
153,1510_A05,L8XR_221117_01_H09,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.6,A8XR_221115_01,L8XR_221117_01,MTX-2114,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1069889454,1000239651,7595,3686.0,9575.0,GRCh38,R8XR-22120602,SI-TT-H9_i7,,,,0.9341,0.9238,-L8XR_221117_01_H09-1233285475
154,1510_B05,L8XR_221117_01_D10,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.17,A8XR_221115_01,L8XR_221117_01,MTX-2114,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1048454479,975586893,8905,5965.0,22324.0,GRCh38,R8XR-22120602,SI-TT-D10_i7,,,,0.9486,0.9369,-L8XR_221117_01_D10-1233285476
155,1510_C05,L8XR_221117_01_E10,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.43,A8XR_221115_01,L8XR_221117_01,MTX-2114,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1103503342,1031885975,12458,3958.0,9906.0,GRCh38,R8XR-22120602,SI-TT-E10_i7,,,,0.9491,0.9354,-L8XR_221117_01_E10-1233285477
156,1520_A04,L8XR_221201_02_E02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.75,A8XR_221129_01,L8XR_221201_02,MTX-2114,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1712877406,1602396813,15341,2269.0,4878.0,GRCh38,R8XR-22120602,SI-TT-E2_i7,,,,0.9505,0.9275,-L8XR_221201_02_E02-1233285481
157,1520_B04,L8XR_221201_02_A01,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.1,A8XR_221122_01,L8XR_221201_02,MTX-2114,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1073008681,999507586,15180,2149.0,4053.5,GRCh38,R8XR-22120602,SI-TT-A1_i7,,,,0.9288,0.9306,-L8XR_221201_02_A01-1233285482
